"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4464","Generate auth token with different credentials","","Tue Dec 30 02:42:18 IST 2025","failed","Tue Dec 30 02:42:22 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","1","Validate user details from API with database","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","1314","Generate auth token with different credentials","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:28 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","1269","Generate auth token with different credentials","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:28 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","2","Read user details","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","API CRUD Operations","Read user details",""
"","2","Delete a user","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","API CRUD Operations","Delete a user",""
"","3","Validate user details from API with database","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","2","Create a new user","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","API CRUD Operations","Create a new user",""
"","239","Validate user details from API with database","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:27 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","26","Get Users","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","User API Testing","Get Users",""
"","1311","Generate auth token with different credentials","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:28 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","2","Validate user details from API with database","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","170","Validate user details from API with database","","Tue Dec 30 02:25:03 IST 2025","broken","Tue Dec 30 02:25:03 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","5233","Generate auth token with different credentials","","Tue Dec 30 02:42:18 IST 2025","passed","Tue Dec 30 02:42:23 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","57","Validate user details from API with database","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:27 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","492","Validate user details from API with database","","Tue Dec 30 02:25:03 IST 2025","broken","Tue Dec 30 02:25:03 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","251","Validate user details from API with database","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:27 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","3","Update user details","","Tue Aug 26 13:06:02 IST 2025","passed","Tue Aug 26 13:06:02 IST 2025","","API CRUD Operations","Update user details",""
"","4467","Generate auth token with different credentials","","Tue Dec 30 02:42:18 IST 2025","failed","Tue Dec 30 02:42:22 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","493","Validate user details from API with database","","Tue Dec 30 02:25:03 IST 2025","broken","Tue Dec 30 02:25:03 IST 2025","","Validate API response with database","Validate user details from API with database",""
"","1290","Generate auth token with different credentials","","Tue Dec 30 01:53:27 IST 2025","broken","Tue Dec 30 01:53:28 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
"","4320","Generate auth token with different credentials","","Tue Dec 30 02:42:18 IST 2025","failed","Tue Dec 30 02:42:22 IST 2025","","Authentication Token Creation","Generate auth token with different credentials",""
